celebrity_name,season,week,season_rule,judge_score,estimated_fan_vote_pct,placement
John O'Hurley,1,1,Ranking,20.0,0.1666664650213698,2
Kelly Monaco,1,1,Ranking,13.0,0.16666631989315736,1
Evander Holyfield,1,1,Ranking,18.0,0.166666583022509,5
Rachel Hunter,1,1,Ranking,20.0,0.16666702452022747,4
Joey McIntyre,1,1,Ranking,20.0,0.16666702452022747,3
Trista Sutter,1,1,Ranking,18.0,0.166666583022509,6
John O'Hurley,1,2,Ranking,26.0,0.4653420543682099,2
Kelly Monaco,1,2,Ranking,17.0,0.0,1
Evander Holyfield,1,2,Ranking,14.0,0.0,5
Rachel Hunter,1,2,Ranking,24.0,0.34799129908806975,4
Joey McIntyre,1,2,Ranking,21.0,0.18666664654372042,3
Trista Sutter,1,2,Ranking,19.0,0.0,6
John O'Hurley,1,3,Ranking,24.0,0.26003498069013875,2
Kelly Monaco,1,3,Ranking,21.0,0.21999959555104798,1
Evander Holyfield,1,3,Ranking,13.0,0.0,5
Rachel Hunter,1,3,Ranking,26.0,0.27265928788605476,4
Joey McIntyre,1,3,Ranking,22.0,0.24730613587275843,3
John O'Hurley,1,4,Ranking,21.0,0.2276370299753678,2
Kelly Monaco,1,4,Ranking,26.0,0.4105203639613418,1
Rachel Hunter,1,4,Ranking,25.0,0.14051858977860124,4
Joey McIntyre,1,4,Ranking,20.0,0.22132401628468926,3
John O'Hurley,1,5,Ranking,27.0,0.3333333028036779,2
Kelly Monaco,1,5,Ranking,23.5,0.33333334609214416,1
Joey McIntyre,1,5,Ranking,22.5,0.333333351104178,3
John O'Hurley,1,6,Ranking,27.0,0.4954128440366972,2
Kelly Monaco,1,6,Ranking,27.5,0.5045871559633027,1
Tatum O'Neal,2,1,Ranking,23.0,0.12773051817117603,9
Tia Carrere,2,1,Ranking,20.0,0.12271456583491616,6
George Hamilton,2,1,Ranking,18.0,0.11999993545094179,5
Lisa Rinna,2,1,Ranking,19.0,0.12135723158074367,4
Stacy Keibler,2,1,Ranking,22.0,0.12637318391706387,3
Jerry Rice,2,1,Ranking,21.0,0.1250158496628906,2
Giselle Fernandez,2,1,Ranking,23.0,0.12773048004686577,8
Master P,2,1,Ranking,12.0,0.0,7
Drew Lachey,2,1,Ranking,24.0,0.1290782353354019,1
Kenny Mayne,2,1,Ranking,13.0,0.0,10
Tatum O'Neal,2,2,Ranking,17.0,0.0,9
Tia Carrere,2,2,Ranking,22.0,0.1372688944044206,6
George Hamilton,2,2,Ranking,22.0,0.1372688944044206,5
Lisa Rinna,2,2,Ranking,20.0,0.1311099184197493,4
Stacy Keibler,2,2,Ranking,29.0,0.15843293190594895,3
Jerry Rice,2,2,Ranking,23.0,0.14021758042771323,2
Giselle Fernandez,2,2,Ranking,24.0,0.14329705479895735,8
Master P,2,2,Ranking,16.0,0.0,7
Drew Lachey,2,2,Ranking,27.0,0.15240472563878996,1
Tia Carrere,2,3,Ranking,26.0,0.21283333157616272,6
