celebrity_name,season,week,season_rule,judge_score,fan_vote_estimate,ranking_result,percentage_result,is_lowest_ranking,is_lowest_percentage,method_difference,placement,cumulative_score,avg_score,score_rank_diff,relative_position,season_rule_encoded
John O'Hurley,1,1,Ranking,20.0,0.0,7.0,0.09174311926605505,False,True,True,2,145.0,8.055555555555555,6.08256880733945,2.0,1
Kelly Monaco,1,1,Ranking,13.0,5.172070232657359,7.0,0.5334034653446577,False,False,True,1,128.0,7.111111111111111,1.6659653465534232,6.0,1
Evander Holyfield,1,1,Ranking,18.0,0.18274931381107748,6.5,0.0993089555820632,False,False,True,5,45.0,2.5,5.506910444179368,4.5,1
Rachel Hunter,1,1,Ranking,20.0,0.0,7.0,0.09174311926605505,False,False,True,4,95.0,5.277777777777778,6.08256880733945,2.0,1
Joey McIntyre,1,1,Ranking,20.0,0.0,7.0,0.09174311926605505,False,False,True,3,105.5,5.861111111111112,6.08256880733945,2.0,1
Trista Sutter,1,1,Ranking,18.0,0.10359429678151938,7.5,0.09205822127511396,True,False,True,6,37.0,2.055555555555556,6.57941778724886,4.5,1
John O'Hurley,1,2,Ranking,26.0,0.0,6.0,0.10743801652892562,False,False,False,2,145.0,8.055555555555555,4.925619834710744,1.0,1
Kelly Monaco,1,2,Ranking,17.0,3.310229100955617,7.0,0.22382816383668186,False,False,False,1,128.0,7.111111111111111,4.761718361633181,5.0,1
Evander Holyfield,1,2,Ranking,14.0,6.282853342915663,7.0,0.3493483027831301,False,False,False,5,45.0,2.5,3.506516972168699,6.0,1
Rachel Hunter,1,2,Ranking,24.0,0.0,7.0,0.09917355371900827,False,False,False,4,95.0,5.277777777777778,6.008264462809917,2.0,1
Joey McIntyre,1,2,Ranking,21.0,0.0,8.0,0.08677685950413223,True,True,False,3,105.5,5.861111111111112,7.132231404958677,3.0,1
Trista Sutter,1,2,Ranking,19.0,1.1837900155003216,7.0,0.13343510362812194,False,False,False,6,37.0,2.055555555555556,5.66564896371878,4.0,1
John O'Hurley,1,3,Ranking,24.0,0.0,6.0,0.11320754716981132,False,False,True,2,145.0,8.055555555555555,4.867924528301887,2.0,1
Kelly Monaco,1,3,Ranking,21.0,0.06371769848591696,6.0,0.10291420066147211,False,True,True,1,128.0,7.111111111111111,4.970857993385279,4.0,1
Evander Holyfield,1,3,Ranking,13.0,8.195011808216782,6.0,0.557463157829094,False,False,True,5,45.0,2.5,0.4253684217090603,5.0,1
Rachel Hunter,1,3,Ranking,26.0,0.0,5.0,0.12264150943396226,False,False,True,4,95.0,5.277777777777778,3.7735849056603774,1.0,1
Joey McIntyre,1,3,Ranking,22.0,0.0,7.0,0.10377358490566038,True,False,True,3,105.5,5.861111111111112,5.962264150943396,3.0,1
John O'Hurley,1,4,Ranking,21.0,1.8928742487362105,5.0,0.31059133382151977,False,False,False,2,145.0,8.055555555555555,1.8940866617848022,3.0,1
Kelly Monaco,1,4,Ranking,26.0,0.0,4.5,0.14130434782608695,False,False,False,1,128.0,7.111111111111111,3.086956521739131,1.0,1
Rachel Hunter,1,4,Ranking,25.0,0.0,5.5,0.1358695652173913,True,True,False,4,95.0,5.277777777777778,4.141304347826087,2.0,1
Joey McIntyre,1,4,Ranking,20.0,2.9245582734505766,5.0,0.4122347531350019,False,False,False,3,105.5,5.861111111111112,0.8776524686499805,4.0,1
John O'Hurley,1,5,Ranking,27.0,0.0,4.0,0.18493150684931506,True,True,False,2,145.0,8.055555555555555,2.1506849315068495,1.0,1
Kelly Monaco,1,5,Ranking,23.5,0.9251547123403839,4.0,0.3336570779209936,False,False,False,1,128.0,7.111111111111111,0.6634292207900643,2.0,1
Joey McIntyre,1,5,Ranking,22.5,1.7533759632378692,4.0,0.48141141522969133,False,False,False,3,105.5,5.861111111111112,-0.8141141522969129,3.0,1
John O'Hurley,1,6,Ranking,27.0,0.14453223340882987,3.0,0.7477064220183487,True,False,True,2,145.0,8.055555555555555,-4.477064220183487,2.0,1
Kelly Monaco,1,6,Ranking,27.5,0.0,3.0,0.25229357798165136,False,True,True,1,128.0,7.111111111111111,0.4770642201834865,1.0,1
Tatum O'Neal,2,1,Ranking,23.0,0.0,10.0,0.05897435897435897,False,False,False,9,40.0,1.6666666666666667,9.41025641025641,2.5,1
Tia Carrere,2,1,Ranking,20.0,0.0,13.5,0.05128205128205128,True,True,False,6,115.0,4.791666666666667,12.987179487179487,6.0,1
George Hamilton,2,1,Ranking,18.0,1.507817791299133,11.0,0.09285340920373591,False,False,False,5,130.0,5.416666666666666,10.07146590796264,8.0,1
Lisa Rinna,2,1,Ranking,19.0,0.48088460644662906,11.0,0.06361172509335995,False,False,False,4,168.5,7.020833333333334,10.3638827490664,7.0,1
Stacy Keibler,2,1,Ranking,22.0,0.0,11.5,0.05641025641025641,False,False,False,3,220.1665,9.173604166666667,10.935897435897436,4.0,1
Jerry Rice,2,1,Ranking,21.0,0.0,12.5,0.05384615384615385,False,False,False,2,180.1666,7.506941666666667,11.961538461538462,5.0,1
Giselle Fernandez,2,1,Ranking,23.0,0.0,10.0,0.05897435897435897,False,False,False,8,69.0,2.875,9.41025641025641,2.5,1
Master P,2,1,Ranking,12.0,7.528451664143995,11.0,0.2639375918182294,False,False,False,7,50.0,2.083333333333333,8.360624081817706,10.0,1
Drew Lachey,2,1,Ranking,24.0,0.0,8.5,0.06153846153846154,False,False,False,1,219.4998,9.145825,7.884615384615385,1.0,1
Kenny Mayne,2,1,Ranking,13.0,6.626656423963309,11.0,0.2385716328590337,False,False,False,10,13.0,0.5416666666666666,8.614283671409662,9.0,1
Tatum O'Neal,2,2,Ranking,17.0,5.1665468946186,10.0,0.22604051997526456,False,False,False,9,40.0,1.6666666666666667,7.739594800247355,8.0,1
Tia Carrere,2,2,Ranking,22.0,0.17690180390636265,9.5,0.06128440034239406,False,False,False,6,115.0,4.791666666666667,8.887155996576059,5.5,1
George Hamilton,2,2,Ranking,22.0,0.13881352988997364,10.5,0.05993132221100037,False,False,False,5,130.0,5.416666666666666,9.900686777889996,5.5,1
Lisa Rinna,2,2,Ranking,20.0,2.275773020074627,10.0,0.13084637030687593,False,False,False,4,168.5,7.020833333333334,8.69153629693124,7.0,1
Stacy Keibler,2,2,Ranking,29.0,0.0,8.5,0.0725,False,False,False,3,220.1665,9.173604166666667,7.775,1.0,1
Jerry Rice,2,2,Ranking,23.0,0.0,11.5,0.0575,True,True,False,2,180.1666,7.506941666666667,10.925,4.0,1
Giselle Fernandez,2,2,Ranking,24.0,0.0,10.5,0.06,False,False,False,8,69.0,2.875,9.9,3.0,1
Master P,2,2,Ranking,16.0,6.316641273389329,10.0,0.26439738716446504,False,False,False,7,50.0,2.083333333333333,7.356026128355349,9.0,1
Drew Lachey,2,2,Ranking,27.0,0.0,9.5,0.0675,False,False,False,1,219.4998,9.145825,8.825,2.0,1
Tia Carrere,2,3,Ranking,26.0,0.0,9.5,0.07142857142857142,False,False,False,6,115.0,4.791666666666667,8.785714285714286,3.0,1
George Hamilton,2,3,Ranking,22.0,0.6976949928660728,9.5,0.08484559991500884,False,False,False,5,130.0,5.416666666666666,8.651544000849912,5.5,1
Lisa Rinna,2,3,Ranking,25.0,0.0,10.5,0.06868131868131869,True,True,False,4,168.5,7.020833333333334,9.813186813186814,4.0,1
Stacy Keibler,2,3,Ranking,27.0,0.0,8.0,0.07417582417582418,False,False,False,3,220.1665,9.173604166666667,7.258241758241758,1.5,1
Jerry Rice,2,3,Ranking,19.0,3.781055991699256,9.0,0.18446276430282138,False,False,False,2,180.1666,7.506941666666667,7.155372356971786,7.0,1
Giselle Fernandez,2,3,Ranking,22.0,0.8986857106394858,8.5,0.09187644783900742,False,False,False,8,69.0,2.875,7.581235521609926,5.5,1
Master P,2,3,Ranking,14.0,8.916053929685983,9.0,0.35035364948162395,False,False,False,7,50.0,2.083333333333333,5.49646350518376,8.0,1
