celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,cumulative_total_score,overall_avg_score,score_trend,industry_encoded,country_encoded,active_weeks,is_winner,final_rank,age,age_group,age_group_encoded,industry_group,industry_Entertainment,industry_Sports,industry_Reality/Model,industry_Media,industry_Other,region,is_us,region_encoded
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2,145.0,8.055555555555555,0.3333333333333333,0,22,6,False,2.0,50,Senior (45-54),2,Entertainment,1,0,0,0,0,Northeast,1,2
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1,128.0,7.111111111111111,0.9238095238095236,0,22,6,True,1.0,29,Prime (25-34),1,Entertainment,1,0,0,0,0,Northeast,1,2
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,5,45.0,2.5,-0.8333333333333334,4,22,3,False,,42,Mature (35-44),0,Sports,0,1,0,0,0,Southeast,1,4
Rachel Hunter,Jonathan Roberts,Model,Unknown,New Zealand,35,1,4,95.0,5.277777777777778,0.5666666666666667,3,14,4,False,,35,Mature (35-44),0,Reality/Model,0,0,1,0,0,Non-US,0,1
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3,105.5,5.861111111111112,0.1333333333333333,0,22,5,False,3.0,32,Prime (25-34),1,Entertainment,1,0,0,0,0,Northeast,1,2
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,6,37.0,2.055555555555556,0.333333333333333,3,22,2,False,,32,Prime (25-34),1,Reality/Model,0,0,1,0,0,Midwest,1,0
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,9,40.0,1.6666666666666667,-2.0,0,22,2,False,,42,Mature (35-44),0,Entertainment,1,0,0,0,0,West,1,6
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,6,115.0,4.791666666666667,0.2333333333333333,0,22,5,False,,39,Mature (35-44),0,Entertainment,1,0,0,0,0,West,1,6
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,5,130.0,5.416666666666666,0.2857142857142858,0,22,6,False,,66,Veteran (55+),3,Entertainment,1,0,0,0,0,Southeast,1,4
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,4,168.5,7.020833333333334,0.4345238095238095,0,22,7,False,,42,Mature (35-44),0,Entertainment,1,0,0,0,0,West,1,6
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3,220.1665,9.173604166666667,0.2070059523809524,4,22,8,False,3.0,26,Prime (25-34),1,Sports,0,1,0,0,0,Southeast,1,4
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2,180.1666,7.506941666666667,0.1514531746031746,4,22,8,False,2.0,43,Mature (35-44),0,Sports,0,1,0,0,0,Southeast,1,4
Giselle Fernandez,Jonathan Roberts,News Anchor,Unknown,Mexico,44,2,8,69.0,2.875,-0.1666666666666669,1,13,3,False,,44,Mature (35-44),0,Media,0,0,0,1,0,Non-US,0,1
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,7,50.0,2.083333333333333,-0.4666666666666666,0,22,4,False,,35,Mature (35-44),0,Entertainment,1,0,0,0,0,Southeast,1,4
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1,219.4998,9.145825,0.18055,0,22,8,True,1.0,29,Prime (25-34),1,Entertainment,1,0,0,0,0,Midwest,1,0
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,10,13.0,0.5416666666666666,0.0,4,22,1,False,,46,Senior (45-54),2,Sports,0,1,0,0,0,West,1,6
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,9,60.0,2.0,0.833333333333333,0,22,3,False,,54,Senior (45-54),2,Entertainment,1,0,0,0,0,West,1,6
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,8,97.0,3.233333333333333,0.3000000000000001,0,22,4,False,,42,Mature (35-44),0,Entertainment,1,0,0,0,0,Midwest,1,0
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,4,199.5,6.65,0.1924603174603176,0,22,8,False,,25,Prime (25-34),1,Entertainment,1,0,0,0,0,Southeast,1,4
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3,233.0,7.7666666666666675,0.2111111111111112,0,22,9,False,3.0,30,Prime (25-34),1,Entertainment,1,0,0,0,0,Northeast,1,2
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2,268.6666,8.955553333333334,0.2484836363636364,0,22,10,False,2.0,32,Prime (25-34),1,Entertainment,1,0,0,0,0,West,1,6
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1,257.6666,8.588886666666667,0.2848472727272728,4,22,10,True,1.0,37,Mature (35-44),0,Sports,0,1,0,0,0,Southeast,1,4
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,10,40.0,1.3333333333333333,1.333333333333333,3,22,2,False,,31,Prime (25-34),1,Reality/Model,0,0,1,0,0,Northeast,1,2
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,7,122.0,4.066666666666667,0.5000000000000001,0,22,5,False,,25,Prime (25-34),1,Entertainment,1,0,0,0,0,Southeast,1,4
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,6,105.0,3.5,0.5666666666666668,0,22,5,False,,35,Mature (35-44),0,Entertainment,1,0,0,0,0,Midwest,1,0
Jerry Springer,Kym Johnson,TV Personality,Unknown,England,62,3,5,143.0,4.766666666666668,0.261904761904762,3,8,7,False,,62,Veteran (55+),3,Reality/Model,0,0,1,0,0,Non-US,0,1
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,11,12.0,0.4,0.0,3,22,1,False,,37,Mature (35-44),0,Reality/Model,0,0,1,0,0,West,1,6
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,6,133.5,4.45,0.1249999999999999,0,22,7,False,,59,Veteran (55+),3,Entertainment,1,0,0,0,0,Northeast,1,2
