celebrity_name,celebrity_instagram_followers,celebrity_twitter_followers,celebrity_tiktok_followers,celebrity_youtube_subscribers,celebrity_total_followers_wikidata,partner_instagram_followers,partner_twitter_followers,partner_tiktok_followers,partner_youtube_subscribers,partner_total_followers_wikidata,celebrity_instagram_followers_log,celebrity_twitter_followers_log,celebrity_tiktok_followers_log,celebrity_youtube_subscribers_log,celebrity_total_followers_wikidata_log,partner_instagram_followers_log,partner_twitter_followers_log,partner_tiktok_followers_log,partner_youtube_subscribers_log,partner_total_followers_wikidata_log
John O'Hurley,,22469.0,,,22469.0,,,,,,,10.019936365179374,,,10.019936365179374,,,,,
Kelly Monaco,,214057.0,,,214057.0,,,,,,,12.274002285319908,,,12.274002285319908,,,,,
Evander Holyfield,,298359.0,,,298359.0,,,,,,,12.6060560900691,,,12.6060560900691,,,,,
Rachel Hunter,,20219.0,,,20219.0,,,,,,,9.914427492574463,,,9.914427492574463,,,,,
Joey McIntyre,,321828.0,,38400.0,360228.0,,3018.0,,,3018.0,,12.681775627565797,,10.555838779903407,12.794495219310487,,8.012680929706839,,,8.012680929706839
Trista Sutter,,124677.0,,,124677.0,,67867.0,,,67867.0,,11.733489692687487,,,11.733489692687487,,11.12531992116283,,,11.12531992116283
Tatum O'Neal,,,,,,,,,,,,,,,,,,,,
Tia Carrere,,37994.0,,,37994.0,,,,,,,10.545209851103886,,,10.545209851103886,,,,,
George Hamilton,,,,,,,,,,,,,,,,,,,,
Lisa Rinna,,654728.0,,,654728.0,,67867.0,,,67867.0,,13.391976688545174,,,13.391976688545174,,11.12531992116283,,,11.12531992116283
Stacy Keibler,,382482.0,,,382482.0,,,,,,,12.854439486816599,,,12.854439486816599,,,,,
Jerry Rice,,695228.0,,,695228.0,,,,,,,13.451996566677789,,,13.451996566677789,,,,,
Giselle Fernandez,,,,,,,,,,,,,,,,,,,,
Master P,,199764.0,,,199764.0,,3018.0,,,3018.0,,12.204896954676451,,,12.204896954676451,,8.012680929706839,,,8.012680929706839
Drew Lachey,,,,,,,380112.0,,,380112.0,,,,,,,12.848223855918395,,,12.848223855918395
Kenny Mayne,,,,,,,,,,,,,,,,,,,,
Harry Hamlin,,,,,,,3018.0,,,3018.0,,,,,,,8.012680929706839,,,8.012680929706839
Vivica A. Fox,,659698.0,,,659698.0,,,,,,,13.39953894936928,,,13.39953894936928,,,,,
Monique Coleman,,422803.0,,,422803.0,,67867.0,,,67867.0,,12.954663993671405,,,12.954663993671405,,11.12531992116283,,,11.12531992116283
Joey Lawrence,,,,,,,,,,,,,,,,,,,,
Mario Lopez,,1332162.0,,,1332162.0,,242304.0,,,242304.0,,14.102314494967956,,,14.102314494967956,,12.39795254216744,,,12.39795254216744
Emmitt Smith,,783072.0,,,783072.0,,380112.0,,,380112.0,,13.570981201789381,,,13.570981201789381,,12.848223855918395,,,12.848223855918395
Shanna Moakler,,135346.0,,,135346.0,,,,,,,11.815597130038771,,,11.815597130038771,,,,,
Willa Ford,,15749.0,,8350.0,24099.0,,,,,,,9.66459564425378,,9.03013657115323,10.089967119478747,,,,,
Sara Evans,,,,,,,,,,,,,,,,,,,,
Jerry Springer,,89881.0,,,89881.0,,,,,,,11.406252977943106,,,11.406252977943106,,,,,
Tucker Carlson,,5567122.0,,2180000.0,7747122.0,,,,,,,15.532388961406925,,14.594835893480763,15.86283210660172,,,,,
John Ratzenberger,,,,,,,,,,,,,,,,,,,,
Ian Ziering,,98661.0,,,98661.0,,380112.0,,,380112.0,,11.499455146222237,,,11.499455146222237,,12.848223855918395,,,12.848223855918395
Clyde Drexler,,,,,,,,,,,,,,,,,,,,
Laila Ali,,136010.0,,,136010.0,,,,,,,11.82049104380033,,,11.82049104380033,,,,,
Apolo Anton Ohno,,256307.0,,,256307.0,,1102937.0,,77400.0,1180337.0,,12.454135125286806,,,12.454135125286806,,13.913488086320331,,11.256754979390998,13.981311396103514
Shandi Finnessey,,11774.0,,,11774.0,,,,,,,9.373733918884618,,,9.373733918884618,,,,,
Paulina Porizkova,,113299.0,,,113299.0,,,,,,,11.637794447016098,,,11.637794447016098,,,,,
Heather Mills,,,,,,,,,,,,,,,,,,,,
Billy Ray Cyrus,,1567767.0,,,1567767.0,,242304.0,,,242304.0,,14.265163509761777,,,14.265163509761777,,12.39795254216744,,,12.39795254216744
Joey Fatone,,197993.0,,,197993.0,,,,,,,12.195992006187224,,,12.195992006187224,,,,,
Leeza Gibbons,,,,,,,,,,,,,,,,,,,,
Cameron Mathison,,,,,,,,,,,,,,,,,,,,
Jane Seymour,,,,,,,,,,,,,,,,,,,,
