celebrity_name,season,season_rule,placement,results,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week1_total_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week2_total_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week3_total_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week4_total_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week5_total_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week6_total_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week7_total_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week8_total_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week9_total_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week10_total_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week11_total_score
John O'Hurley,1,Ranking,2,2nd Place,7.0,7.0,6.0,,20.0,8.0,9.0,9.0,,26.0,9.0,8.0,7.0,,24.0,7.0,8.0,6.0,,21.0,9.0,9.0,9.0,,27.0,9.0,9.0,9.0,,27.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
Kelly Monaco,1,Ranking,1,1st Place,5.0,4.0,4.0,,13.0,5.0,6.0,6.0,,17.0,6.0,7.0,8.0,,21.0,9.0,9.0,8.0,,26.0,8.5,7.5,7.5,,23.5,8.5,9.5,9.5,,27.5,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
Evander Holyfield,1,Ranking,5,Eliminated Week 3,5.0,7.0,6.0,,18.0,5.0,4.0,5.0,,14.0,5.0,4.0,4.0,,13.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
Rachel Hunter,1,Ranking,4,Eliminated Week 4,7.0,6.0,7.0,,20.0,8.0,8.0,8.0,,24.0,8.0,9.0,9.0,,26.0,7.0,9.0,9.0,,25.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
Joey McIntyre,1,Ranking,3,3rd Place,7.0,7.0,6.0,,20.0,8.0,7.0,6.0,,21.0,7.0,7.0,8.0,,22.0,7.0,6.0,7.0,,20.0,8.5,7.0,7.0,,22.5,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
Trista Sutter,1,Ranking,6,Eliminated Week 2,6.0,6.0,6.0,,18.0,6.0,7.0,6.0,,19.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
Tatum O'Neal,2,Ranking,9,Eliminated Week 2,7.0,8.0,8.0,,23.0,5.0,6.0,6.0,,17.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
Tia Carrere,2,Ranking,6,Eliminated Week 5,6.0,7.0,7.0,,20.0,7.0,8.0,7.0,,22.0,9.0,8.0,9.0,,26.0,9.0,8.0,8.0,,25.0,7.0,7.0,8.0,,22.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
George Hamilton,2,Ranking,5,Eliminated Week 6,7.0,5.0,6.0,,18.0,8.0,7.0,7.0,,22.0,7.0,7.0,8.0,,22.0,7.0,7.0,7.0,,21.0,8.0,8.0,8.0,,24.0,8.0,7.0,8.0,,23.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
Lisa Rinna,2,Ranking,4,Eliminated Week 7,5.0,7.0,7.0,,19.0,6.0,7.0,7.0,,20.0,8.0,8.0,9.0,,25.0,9.0,9.0,8.0,,26.0,7.0,9.0,9.0,,25.0,9.0,9.0,9.0,,27.0,8.5,9.0,9.0,,26.5,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
