celebrity_name,season,season_rule,placement,results,cumulative_total_score,overall_avg_score,week1_total_score,week1_avg_score,week2_total_score,week2_avg_score,week3_total_score,week3_avg_score,week4_total_score,week4_avg_score,week5_total_score,week5_avg_score,week6_total_score,week6_avg_score,week7_total_score,week7_avg_score,week8_total_score,week8_avg_score,week9_total_score,week9_avg_score,week10_total_score,week10_avg_score,week11_total_score,week11_avg_score
John O'Hurley,1,Ranking,2,2nd Place,145.0,8.055555555555555,20.0,6.666666666666667,26.0,8.666666666666666,24.0,8.0,21.0,7.0,27.0,9.0,27.0,9.0,0.0,,0.0,,0.0,,0.0,,0.0,
Kelly Monaco,1,Ranking,1,1st Place,128.0,7.111111111111111,13.0,4.333333333333333,17.0,5.666666666666667,21.0,7.0,26.0,8.666666666666666,23.5,7.833333333333333,27.5,9.166666666666666,0.0,,0.0,,0.0,,0.0,,0.0,
Evander Holyfield,1,Ranking,5,Eliminated Week 3,45.0,2.5,18.0,6.0,14.0,4.666666666666667,13.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Rachel Hunter,1,Ranking,4,Eliminated Week 4,95.0,5.277777777777778,20.0,6.666666666666667,24.0,8.0,26.0,8.666666666666666,25.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Joey McIntyre,1,Ranking,3,3rd Place,105.5,5.861111111111112,20.0,6.666666666666667,21.0,7.0,22.0,7.333333333333333,20.0,6.666666666666667,22.5,7.5,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Trista Sutter,1,Ranking,6,Eliminated Week 2,37.0,2.0555555555555554,18.0,6.0,19.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Tatum O'Neal,2,Ranking,9,Eliminated Week 2,40.0,1.6666666666666667,23.0,7.666666666666667,17.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,
Tia Carrere,2,Ranking,6,Eliminated Week 5,115.0,4.791666666666667,20.0,6.666666666666667,22.0,7.333333333333333,26.0,8.666666666666666,25.0,8.333333333333334,22.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,
George Hamilton,2,Ranking,5,Eliminated Week 6,130.0,5.416666666666666,18.0,6.0,22.0,7.333333333333333,22.0,7.333333333333333,21.0,7.0,24.0,8.0,23.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,
Lisa Rinna,2,Ranking,4,Eliminated Week 7,168.5,7.020833333333334,19.0,6.333333333333333,20.0,6.666666666666667,25.0,8.333333333333334,26.0,8.666666666666666,25.0,8.333333333333334,27.0,9.0,26.5,8.833333333333334,0.0,0.0,0.0,,0.0,,0.0,
Stacy Keibler,2,Ranking,3,3rd Place,220.16649999999998,9.173604166666667,22.0,7.333333333333333,29.0,9.666666666666666,27.0,9.0,26.0,8.666666666666666,30.0,10.0,30.0,10.0,27.5,9.166666666666666,28.6665,9.5555,0.0,,0.0,,0.0,
Jerry Rice,2,Ranking,2,2nd Place,180.16660000000002,7.506941666666667,21.0,7.0,23.0,7.666666666666667,19.0,6.333333333333333,24.0,8.0,23.0,7.666666666666667,23.0,7.666666666666667,20.5,6.833333333333333,26.666600000000003,8.888866666666667,0.0,,0.0,,0.0,
Giselle Fernandez,2,Ranking,8,Eliminated Week 3,69.0,2.875,23.0,7.666666666666667,24.0,8.0,22.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,
Master P,2,Ranking,7,Eliminated Week 4,50.0,2.083333333333333,12.0,4.0,16.0,5.333333333333333,14.0,4.666666666666667,8.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,
Drew Lachey,2,Ranking,1,1st Place,219.4998,9.145825,24.0,8.0,27.0,9.0,27.0,9.0,28.0,9.333333333333334,27.0,9.0,30.0,10.0,27.5,9.166666666666666,28.9998,9.6666,0.0,,0.0,,0.0,
