celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,season_rule,week1_total_score,week1_avg_score,week1_judge_count,week2_total_score,week2_avg_score,week2_judge_count,week3_total_score,week3_avg_score,week3_judge_count,week4_total_score,week4_avg_score,week4_judge_count,week5_total_score,week5_avg_score,week5_judge_count,week6_total_score,week6_avg_score,week6_judge_count,week7_total_score,week7_avg_score,week7_judge_count,week8_total_score,week8_avg_score,week8_judge_count,week9_total_score,week9_avg_score,week9_judge_count,week10_total_score,week10_avg_score,week10_judge_count,week11_total_score,week11_avg_score,week11_judge_count,cumulative_total_score,overall_avg_score,score_trend,is_winner,eliminated_week,final_rank,industry_encoded,country_encoded,season_rule_encoded,active_weeks
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,Ranking,20.0,6.666666666666667,3,26.0,8.666666666666666,3,24.0,8.0,3,21.0,7.0,3,27.0,9.0,3,27.0,9.0,3,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,145.0,8.055555555555555,0.33333333333333337,False,,2.0,0,22,0,6
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,Ranking,13.0,4.333333333333333,3,17.0,5.666666666666667,3,21.0,7.0,3,26.0,8.666666666666666,3,23.5,7.833333333333333,3,27.5,9.166666666666666,3,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,128.0,7.111111111111111,0.9238095238095236,True,,1.0,0,22,0,6
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5.0,7.0,6.0,,5.0,4.0,5.0,,5.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Ranking,18.0,6.0,3,14.0,4.666666666666667,3,13.0,4.333333333333333,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,45.0,2.5,-0.8333333333333334,False,3.0,,2,22,0,3
Rachel Hunter,Jonathan Roberts,Model,Unknown,New Zealand,35,1,Eliminated Week 4,4,7.0,6.0,7.0,,8.0,8.0,8.0,,8.0,9.0,9.0,,7.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Ranking,20.0,6.666666666666667,3,24.0,8.0,3,26.0,8.666666666666666,3,25.0,8.333333333333334,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,95.0,5.277777777777778,0.5666666666666667,False,4.0,,13,14,0,4
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,7.0,6.0,,8.0,7.0,6.0,,7.0,7.0,8.0,,7.0,6.0,7.0,,8.5,7.0,7.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Ranking,20.0,6.666666666666667,3,21.0,7.0,3,22.0,7.333333333333333,3,20.0,6.666666666666667,3,22.5,7.5,3,0.0,0.0,3,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,105.5,5.861111111111112,0.1333333333333333,False,,3.0,21,22,0,5
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,6.0,6.0,6.0,,6.0,7.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Ranking,18.0,6.0,3,19.0,6.333333333333333,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,37.0,2.0555555555555554,0.33333333333333304,False,2.0,,25,22,0,2
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,7.0,8.0,8.0,,5.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,Ranking,23.0,7.666666666666667,3,17.0,5.666666666666667,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,0.0,,0,0.0,,0,40.0,1.6666666666666667,-2.0,False,2.0,,0,22,0,2
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,6.0,7.0,7.0,,7.0,8.0,7.0,,9.0,8.0,9.0,,9.0,8.0,8.0,,7.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,Ranking,20.0,6.666666666666667,3,22.0,7.333333333333333,3,26.0,8.666666666666666,3,25.0,8.333333333333334,3,22.0,7.333333333333333,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,0.0,,0,0.0,,0,115.0,4.791666666666667,0.2333333333333333,False,5.0,,0,22,0,5
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,7.0,5.0,6.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,Ranking,18.0,6.0,3,22.0,7.333333333333333,3,22.0,7.333333333333333,3,21.0,7.0,3,24.0,8.0,3,23.0,7.666666666666667,3,0.0,0.0,3,0.0,0.0,3,0.0,,0,0.0,,0,0.0,,0,130.0,5.416666666666666,0.2857142857142858,False,6.0,,0,22,0,6
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5.0,7.0,7.0,,6.0,7.0,7.0,,8.0,8.0,9.0,,9.0,9.0,8.0,,7.0,9.0,9.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,,,,,,,,,,,,,Ranking,19.0,6.333333333333333,3,20.0,6.666666666666667,3,25.0,8.333333333333334,3,26.0,8.666666666666666,3,25.0,8.333333333333334,3,27.0,9.0,3,26.5,8.833333333333334,3,0.0,0.0,3,0.0,,0,0.0,,0,0.0,,0,168.5,7.020833333333334,0.43452380952380953,False,7.0,,0,22,0,7
